JRV,ORIGEN,CANDIDATO_RUBRO,VOTOS
4828,TREP,VOTOS BLANCOS,0
4828,TREP,VOTOS NULOS,1
4828,TREP,GRAN TOTAL,200
5350,ESCRUTINIO,DC,1
5350,ESCRUTINIO,PINU,5
5350,ESCRUTINIO,P. LIBERAL,120
5350,ESCRUTINIO,LIBRE,17
5350,ESCRUTINIO,P. NACIONAL,53
5350,ESCRUTINIO,VOTOS BLANCOS,0
5350,ESCRUTINIO,VOTOS NULOS,4
5350,ESCRUTINIO,GRAN TOTAL,200
5350,TREP,DC,1
5350,TREP,PINU,5
5350,TREP,P. LIBERAL,120
5350,TREP,LIBRE,17
5350,TREP,P. NACIONAL,53
5350,TREP,VOTOS BLANCOS,0
5350,TREP,VOTOS NULOS,4
5350,TREP,GRAN TOTAL,200
5426,ESCRUTINIO,DC,1
5426,ESCRUTINIO,PINU,10
5426,ESCRUTINIO,P. LIBERAL,116
5426,ESCRUTINIO,LIBRE,15
5426,ESCRUTINIO,P. NACIONAL,32
5426,ESCRUTINIO,VOTOS BLANCOS,0
5426,ESCRUTINIO,VOTOS NULOS,2
5426,ESCRUTINIO,GRAN TOTAL,176
5426,TREP,DC,1
5426,TREP,PINU,10
5426,TREP,P. LIBERAL,116
5426,TREP,LIBRE,15
5426,TREP,P. NACIONAL,32
5426,TREP,VOTOS BLANCOS,0
5426,TREP,VOTOS NULOS,2
5426,TREP,GRAN TOTAL,176
5441,ESCRUTINIO,DC,0
5441,ESCRUTINIO,PINU,2
5441,ESCRUTINIO,P. LIBERAL,164
5441,ESCRUTINIO,LIBRE,25
5441,ESCRUTINIO,P. NACIONAL,39
5441,ESCRUTINIO,VOTOS BLANCOS,0
5441,ESCRUTINIO,VOTOS NULOS,1
5441,ESCRUTINIO,GRAN TOTAL,231
5441,TREP,DC,0
5441,TREP,PINU,2
5441,TREP,P. LIBERAL,164
5441,TREP,LIBRE,25
5441,TREP,P. NACIONAL,39
5441,TREP,VOTOS BLANCOS,0
5441,TREP,VOTOS NULOS,1
5441,TREP,GRAN TOTAL,231
5442,ESCRUTINIO,DC,0
5442,ESCRUTINIO,PINU,10
5442,ESCRUTINIO,P. LIBERAL,162
5442,ESCRUTINIO,LIBRE,17
5442,ESCRUTINIO,P. NACIONAL,22
5442,ESCRUTINIO,VOTOS BLANCOS,0
5442,ESCRUTINIO,VOTOS NULOS,0
5442,ESCRUTINIO,GRAN TOTAL,211
5442,TREP,DC,0
5442,TREP,PINU,10
5442,TREP,P. LIBERAL,162
5442,TREP,LIBRE,17
5442,TREP,P. NACIONAL,22
5442,TREP,VOTOS BLANCOS,0
5442,TREP,VOTOS NULOS,0
5442,TREP,GRAN TOTAL,211
5445,ESCRUTINIO,DC,0
5445,ESCRUTINIO,PINU,6
5445,ESCRUTINIO,P. LIBERAL,149
5445,ESCRUTINIO,LIBRE,23
5445,ESCRUTINIO,P. NACIONAL,31
5445,ESCRUTINIO,VOTOS BLANCOS,1
5445,ESCRUTINIO,VOTOS NULOS,1
5445,ESCRUTINIO,GRAN TOTAL,211
5445,TREP,DC,0
5445,TREP,PINU,6
5445,TREP,P. LIBERAL,149
5445,TREP,LIBRE,23
5445,TREP,P. NACIONAL,31
5445,TREP,VOTOS BLANCOS,1
5445,TREP,VOTOS NULOS,1
5445,TREP,GRAN TOTAL,211
5446,ESCRUTINIO,DC,0
