Fecha_Hora,Departamento,JRV,Nivel,Estado,Detalle
2026-02-07 09:07:17,FRANCISCO MORAZAN,10151,DIPUTADOS,EXITO,Guardado en no_computadas
2026-02-07 09:07:21,FRANCISCO MORAZAN,10151,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 09:07:25,FRANCISCO MORAZAN,10314,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:07:36,FRANCISCO MORAZAN,10314,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:07:40,FRANCISCO MORAZAN,10314,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 09:07:44,FRANCISCO MORAZAN,10354,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:07:54,FRANCISCO MORAZAN,10354,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:07:59,FRANCISCO MORAZAN,10354,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:08:03,FRANCISCO MORAZAN,10538,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:08:13,FRANCISCO MORAZAN,10538,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:08:17,FRANCISCO MORAZAN,10538,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:08:21,FRANCISCO MORAZAN,10539,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:08:32,FRANCISCO MORAZAN,10539,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:08:36,FRANCISCO MORAZAN,10539,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:08:40,FRANCISCO MORAZAN,10572,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:08:50,FRANCISCO MORAZAN,10572,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:08:55,FRANCISCO MORAZAN,10572,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:08:59,FRANCISCO MORAZAN,10629,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:09:09,FRANCISCO MORAZAN,10629,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:09:13,FRANCISCO MORAZAN,10629,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:09:18,FRANCISCO MORAZAN,10645,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:09:28,FRANCISCO MORAZAN,10645,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:09:32,FRANCISCO MORAZAN,10645,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:09:36,FRANCISCO MORAZAN,10663,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:09:46,FRANCISCO MORAZAN,10663,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:09:50,FRANCISCO MORAZAN,10663,ALCALDE,EXITO,Guardado en pdf
